div_dpto;departamento;ano;casos;proyeccion;tasa;hist_dpto;porcentaje
95;GUAVIARE;2016;22;78796;27.920198994872838;502;4.382470119521913
95;GUAVIARE;2015;34;77328;43.968549555141735;502;6.772908366533864
95;GUAVIARE;2014;42;76101;55.18981353727283;502;8.366533864541832
95;GUAVIARE;2013;52;75092;69.24838864326426;502;10.358565737051793
95;GUAVIARE;2012;48;74281;64.61948546734698;502;9.56175298804781
95;GUAVIARE;2011;44;73652;59.74040080377994;502;8.764940239043826
95;GUAVIARE;2010;23;73194;31.423340710987237;502;4.581673306772909
97;VAUPÉS;2022;6;48932;12.261914493582932;34;17.647058823529413
97;VAUPÉS;2021;1;46808;2.136386942403008;34;2.941176470588235
97;VAUPÉS;2020;4;44712;8.946144211844695;34;11.76470588235294
97;VAUPÉS;2019;3;42721;7.022307530254442;34;8.823529411764707
97;VAUPÉS;2018;3;40797;7.353481873667182;34;8.823529411764707
97;VAUPÉS;2017;2;39811;5.0237371580718895;34;5.88235294117647
97;VAUPÉS;2016;2;38737;5.163022433332473;34;5.88235294117647
97;VAUPÉS;2015;6;37638;15.941335883947074;34;17.647058823529413
97;VAUPÉS;2014;3;36509;8.217151935139281;34;8.823529411764707
97;VAUPÉS;2013;2;35353;5.657228523746217;34;5.88235294117647
97;VAUPÉS;2012;1;34165;2.926972047416947;34;2.941176470588235
97;VAUPÉS;2011;1;32940;3.0358227079538556;34;2.941176470588235
11;BOGOTÁ D.C. (CT);2023;795;7968095;9.977290682402758;15968;4.9787074148296595
11;BOGOTÁ D.C. (CT);2022;1007;7901653;12.744168846695748;15968;6.306362725450902
11;BOGOTÁ D.C. (CT);2021;1142;7834167;14.577172020969172;15968;7.151803607214428
11;BOGOTÁ D.C. (CT);2020;1197;7743955;15.457217920300414;15968;7.496242484969939
11;BOGOTÁ D.C. (CT);2019;1052;7592871;13.855101713172791;15968;6.5881763527054105
11;BOGOTÁ D.C. (CT);2018;1064;7412566;14.3540037282636;15968;6.663326653306613
11;BOGOTÁ D.C. (CT);2017;1137;7337449;15.495848761606384;15968;7.120490981963928
11;BOGOTÁ D.C. (CT);2016;1266;7300918;17.340285153182105;15968;7.928356713426854
11;BOGOTÁ D.C. (CT);2015;1344;7273265;18.478633736018143;15968;8.41683366733467
11;BOGOTÁ D.C. (CT);2014;1336;7252949;18.420093675000334;15968;8.366733466933868
11;BOGOTÁ D.C. (CT);2013;1269;7228427;17.555686735163818;15968;7.947144288577154
